time alive avgAge maxAge
4520 22 489.27272727272725 1200
4440 23 417.2173913043478 1120
4410 23 419.0869565217391 1090
4500 22 469.27272727272725 1180
4430 24 405.1666666666667 1110
4490 22 459.27272727272725 1170
4460 22 439.77272727272725 1140
4570 21 517.1904761904761 1250
4480 23 436.7391304347826 1160
4510 22 479.27272727272725 1190
4550 21 508.42857142857144 1230
4620 23 480.39130434782606 1300
4540 22 509.27272727272725 1220
4600 23 501.8695652173913 1280
4530 22 499.27272727272725 1210
4590 23 491.8695652173913 1270
4560 21 507.1904761904762 1240
4670 24 446.75 1260
4580 23 481.8695652173913 1260
4650 24 482.8333333333333 1330
4610 22 492.1818181818182 1290
4720 29 388.2413793103448 1310
4640 24 472.8333333333333 1320
4630 24 470.125 1310
4660 24 492.8333333333333 1340
4700 30 383.7 1290
4690 28 400.7142857142857 1280
4770 28 369.25 1360
4750 28 354.10714285714283 1340
4680 25 438.48 1270
4710 30 393.7 1300
4740 28 344.10714285714283 1330
4820 26 387.38461538461536 1410
4800 26 367.38461538461536 1390
4760 27 372.6296296296296 1350
4790 26 357.38461538461536 1380
4730 28 334.10714285714283 1320
4870 28 409.07142857142856 1460
4850 28 389.07142857142856 1440
4780 29 366.44827586206895 1370
4920 27 374.14814814814815 1510
4840 28 379.07142857142856 1430
4810 26 377.38461538461536 1400
4890 29 414.7241379310345 1480
4830 27 382.85185185185185 1420
4900 28 408.39285714285717 1490
4860 28 399.07142857142856 1450
4970 25 418.4 1560
4910 27 376.6296296296296 1500
4950 26 405.11538461538464 1540
5020 24 427.625 1610
4940 26 395.11538461538464 1530
4880 29 404.7241379310345 1470
5070 23 391.95652173913044 1315
4960 25 408.4 1550
4990 25 414.76 1580
5000 25 424.76 1590
5040 24 380.25 1285
5120 20 447.3 1365
5010 24 417.625 1600
4930 27 384.14814814814815 1520
5090 22 415.77272727272725 1335
5050 24 390.25 1295
5170 18 508.6666666666667 1415
4980 24 421.7083333333333 1570
5100 22 425.77272727272725 1345
5140 19 479.63157894736844 1385
5060 23 407.4347826086956 1305
5030 24 437.625 1620
5220 18 381 1465
5110 21 436.6666666666667 1355
5150 20 465.25 1395
5080 23 401.95652173913044 1325
5190 16 474.25 1435
5160 20 475.25 1405
5200 15 434.3333333333333 1445
5130 20 457.3 1375
5270 15 456.93333333333334 1515
5240 17 414.11764705882354 1485
5210 17 393.05882352941177 1455
5180 17 519.7647058823529 1425
5250 17 424.11764705882354 1495
5320 13 511.2307692307692 1565
5290 13 481.2307692307692 1535
5370 18 344.55555555555554 1615
5260 16 454.25 1505
5300 13 491.2307692307692 1545
5340 15 461.8 1585
5230 17 404.11764705882354 1475
5420 18 394.55555555555554 1000
5310 13 501.2307692307692 1555
5280 14 495.57142857142856 1525
5390 18 364.55555555555554 1635
5350 17 416.94117647058823 1595
5360 17 354.70588235294116 1605
5330 14 484.2857142857143 1575
5470 21 383.1904761904762 1050
5440 18 414.55555555555554 1020
5410 18 384.55555555555554 990
5400 18 374.55555555555554 1645
5380 18 354.55555555555554 1625
5520 23 399.39130434782606 1100
5450 19 402.57894736842104 1030
5460 20 392.1 1040
5490 23 369.39130434782606 1070
5430 18 404.55555555555554 1010
5500 23 379.39130434782606 1080
5570 22 433.6818181818182 1150
5510 23 389.39130434782606 1090
5540 22 414.1818181818182 1120
5550 22 424.1818181818182 1130
5480 22 375.77272727272725 1060
5620 22 448.1818181818182 1200
5590 22 453.6818181818182 1170
5530 23 409.39130434782606 1110
5560 21 444.04761904761904 1140
5600 22 463.6818181818182 1180
5670 22 478.3181818181818 1250
5610 21 459.23809523809524 1190
5580 22 443.6818181818182 1160
5640 24 429.4166666666667 1220
5650 22 458.3181818181818 1230
5720 22 438.6363636363636 1300
5660 22 468.3181818181818 1240
5700 22 481.5 1280
5690 22 488.22727272727275 1270
5630 22 458.1818181818182 1210
5770 20 484.2 1350
5710 21 449.3333333333333 1290
5750 21 444.3809523809524 1330
5740 21 434.3809523809524 1320
5680 23 467.1304347826087 1260
5820 22 461.5 1400
